Distance_km,Traffic_Level,Weather,Road_Type,Vehicle_Type,Avg_Speed_kmph,Number_of_Signals,Day_of_Week,Time_of_Day,Travel_Time_Minutes
14.7,Medium,Clear,Highway,Bike,68.2,4,Tuesday,Peak Hour,21.7
15.4,High,Cloudy,Highway,Bike,54.9,6,Friday,Morning,22.5
46.7,Medium,Rain,Rural,Car,40.3,10,Friday,Afternoon,75.2
3.2,Medium,Cloudy,Highway,Bike,60.0,2,Wednesday,Peak Hour,10.1
35.4,Low,Rain,Highway,Bike,79.2,7,Sunday,Afternoon,33.9
36.8,Low,Cloudy,City,Bike,59.2,19,Thursday,Afternoon,45.0
42.1,Low,Cloudy,City,Bus,33.8,20,Friday,Morning,83.2
48.8,High,Rain,City,Car,15.0,24,Thursday,Peak Hour,217.5
48.8,Medium,Clear,Highway,Bike,71.5,9,Monday,Evening,48.6
5.1,Medium,Clear,City,Car,40.1,9,Saturday,Night,11.9
41.4,Low,Clear,Highway,Car,80.9,8,Sunday,Afternoon,32.5
33.0,High,Fog,Highway,Car,44.2,9,Thursday,Night,54.8
33.1,High,Rain,Rural,Car,29.2,10,Tuesday,Night,82.1
8.2,Low,Clear,Highway,Car,81.5,3,Saturday,Afternoon,6.9
33.2,Low,Cloudy,City,Bike,56.2,17,Tuesday,Afternoon,39.4
49.2,Low,Rain,City,Car,34.2,22,Friday,Morning,99.8
45.8,Low,Clear,Highway,Bike,75.5,9,Saturday,Peak Hour,43.4
23.1,Medium,Cloudy,Rural,Car,44.9,6,Thursday,Evening,35.8
3.9,Medium,Rain,Highway,Car,50.3,3,Saturday,Peak Hour,20.1
19.4,Low,Clear,City,Bike,61.9,14,Friday,Afternoon,22.8
41.7,Medium,Cloudy,Rural,Car,44.5,9,Wednesday,Night,62.6
35.7,Low,Clear,City,Car,49.8,18,Sunday,Night,47.0
24.0,Low,Rain,Rural,Bike,59.2,6,Tuesday,Night,25.6
4.6,Medium,Fog,Highway,Car,47.6,3,Friday,Peak Hour,22.6
22.5,Medium,Rain,City,Car,24.6,14,Wednesday,Afternoon,64.7
24.5,High,Clear,Highway,Car,56.3,8,Saturday,Morning,35.1
46.6,Low,Rain,City,Bus,38.1,21,Saturday,Night,84.9
32.8,Medium,Rain,Rural,Bike,45.7,8,Friday,Night,51.2
17.0,Medium,Clear,Highway,Bike,68.6,4,Thursday,Evening,19.0
27.2,Low,Rain,City,Bike,50.7,16,Saturday,Morning,40.7
5.2,Medium,Clear,Highway,Car,65.7,3,Thursday,Evening,6.7
48.7,Low,Cloudy,City,Car,45.0,22,Thursday,Afternoon,72.9
19.3,Low,Clear,City,Bike,55.6,14,Sunday,Afternoon,23.4
24.9,High,Clear,Rural,Car,38.1,9,Thursday,Evening,54.1
